folder,file,function,cognitive_complexity
target,bzlib.h.json,,0.0
unknown,main.rs.json,process_link_list,11.0
unknown,main.rs.json,process_cells,13.0
unknown,main.rs.json,main,68.0
unknown,main.rs.json,test_main,0.0
unknown,typedef.h.json,,0.0
unknown,typedef.h.json,stat,0.0
unknown,typedef.h.json,,0.0
unknown,typedef.h.json,,0.0
unknown,typedef.h.json,bz_stream_default,0.0
unknown,typedef.h.json,,0.0
unknown,typedef.h.json,,0.0
unknown,typedef.h.json,EState_default,0.0
unknown,typedef.h.json,stat,0.0
unknown,typedef.h.json,,0.0
bzip2recover,tooManyBlocks.rs.json,too_many_blocks,0.0
bzip2recover,tooManyBlocks.rs.json,mock_exit,0.0
bzip2recover,tooManyBlocks.rs.json,test_too_many_blocks,0.0
bzip2recover,writeError.rs.json,write_error,0.0
bzip2recover,writeError.rs.json,test_write_error,1.0
bzip2recover,readError.rs.json,read_error,0.0
bzip2recover,mallocFail.rs.json,malloc_fail,0.0
bzip2recover,bsClose.rs.json,BitStream,11.0
bzip2recover,bsClose.rs.json,test_get_bit,0.0
bzip2recover,bsClose.rs.json,test_open_read_stream,0.0
bzip2recover,bsClose.rs.json,test_open_write_stream,0.0
bzip2recover,bsPutBit_bsGetBit_bsPutUInt32.rs.json,bs_put_u_char,1.0
bzip2recover,bsPutBit_bsGetBit_bsPutUInt32.rs.json,bs_put_u_int32,1.0
bzip2recover,bsPutBit_bsGetBit_bsPutUInt32.rs.json,bs_put_bit,3.0
bzip2recover,bsPutBit_bsGetBit_bsPutUInt32.rs.json,flush,3.0
bzip2recover,bsPutBit_bsGetBit_bsPutUInt32.rs.json,reset,0.0
bzip2recover,endsInBz2.rs.json,ends_in_bz2,1.0
bzip2recover,endsInBz2.rs.json,test_ends_in_bz2,0.0
bzip2recover,scc_6_root_3_mallocFail.c.json,mallocFail,0.0
bzip2recover,scc_6_root_3_mallocFail.c.json,bsOpenReadStream,1.0
bzip2recover,scc_6_root_3_mallocFail.c.json,bsOpenWriteStream,1.0
bzip2recover,scc_6_root_3_mallocFail.c.json,test_bsOpenReadStream,0.0
bzip2recover,scc_6_root_3_mallocFail.c.json,test_bsOpenWriteStream,0.0
bzip2recover,scc_6_root_3_mallocFail.c.json,main,4.0
bzip2recover,scc_81_root_44_endsInBz2.c.json,endsInBz2,2.0
bzip2recover,scc_81_root_44_endsInBz2.c.json,test_endsInBz2,0.0
bzip2recover,scc_81_root_44_endsInBz2.c.json,main,0.0
bzip2recover,scc_4_bsClose.c.json,bsClose,11.0
bzip2recover,scc_4_bsClose.c.json,bsGetBit,7.0
bzip2recover,scc_4_bsClose.c.json,test_bsClose_bsGetBit,0.0
bzip2recover,scc_85_root_48_tooManyBlocks.c.json,tooManyBlocks,0.0
bzip2recover,scc_85_root_48_tooManyBlocks.c.json,mock_exit,0.0
bzip2recover,scc_85_root_48_tooManyBlocks.c.json,test_tooManyBlocks,0.0
bzip2recover,scc_85_root_48_tooManyBlocks.c.json,main,0.0
bzip2recover,scc_2_bsPutBit.c.json,bsPutBit,4.0
bzip2recover,scc_2_bsPutBit.c.json,bsPutUChar,1.0
bzip2recover,scc_2_bsPutBit.c.json,bsPutUInt32,1.0
bzip2recover,scc_2_bsPutBit.c.json,test_bsPutUChar,0.0
bzip2recover,scc_2_bsPutBit.c.json,test_bsPutBit,0.0
bzip2recover,scc_2_bsPutBit.c.json,resetBitStream,0.0
bzip2recover,scc_2_bsPutBit.c.json,test_bsPutUInt32,0.0
bzip2recover,scc_2_bsPutBit.c.json,main,2.0
bzip2recover,scc_3_root_2_readError.c.json,readError,0.0
bzip2recover,scc_1_root_1_writeError.c.json,writeError,0.0
bzip2recover,scc_1_root_1_writeError.c.json,test_writeError,0.0
compress,scc_69_BZ2_compressBlock.rs.json,bs_w,4.0
compress,scc_69_BZ2_compressBlock.rs.json,bs_put_uint32,0.0
compress,scc_69_BZ2_compressBlock.rs.json,bs_put_uchar,0.0
compress,scc_69_BZ2_compressBlock.rs.json,bs_finish_write,3.0
compress,scc_69_BZ2_compressBlock.rs.json,update_zbits,9.0
compress,scc_69_BZ2_compressBlock.rs.json,update_arr2,9.0
compress,scc_69_BZ2_compressBlock.rs.json,bz2_compress_block,14.0
compress,scc_20_root_25_bsW.rs.json,bs_w,3.0
compress,scc_28_root_21_BZ2_bsInitWrite.rs.json,bz2_bs_init_write,0.0
compress,scc_63_sendMTFValues.rs.json,sendMTFValues,153.0
compress,scc_18_root_15_makeMaps_e_scc_19_generateMTFValues.rs.json,make_maps_e,3.0
compress,scc_18_root_15_makeMaps_e_scc_19_generateMTFValues.rs.json,test_make_maps_e,4.0
compress,scc_18_root_15_makeMaps_e_scc_19_generateMTFValues.rs.json,convert_to_vec,1.0
compress,scc_18_root_15_makeMaps_e_scc_19_generateMTFValues.rs.json,generate_mtf_values,51.0
compress,scc_73_BZ2_compressBlock.c.json,BZ2_compressBlock,10.0
compress,scc_36_root_24_BZ2_bsInitWrite.c.json,BZ2_bsInitWrite,0.0
compress,scc_36_root_24_BZ2_bsInitWrite.c.json,test_BZ2_bsInitWrite,0.0
compress,scc_36_root_24_BZ2_bsInitWrite.c.json,main,2.0
compress,scc_32_root_22_bsFinishWrite.c.json,,0.0
compress,scc_32_root_22_bsFinishWrite.c.json,bsFinishWrite,1.0
compress,scc_32_root_22_bsFinishWrite.c.json,test_bsFinishWrite,0.0
compress,scc_32_root_22_bsFinishWrite.c.json,main,3.0
compress,scc_67_sendMTFValues.c.json,sendMTFValues,162.0
compress,scc_33_root_23_bsW.c.json,void,1.0
compress,scc_33_root_23_bsW.c.json,test_bsW,0.0
compress,scc_33_root_23_bsW.c.json,main,2.0
compress,scc_26_root_18_makeMaps_e_scc_27_generateMTFValues.c.json,makeMaps_e,3.0
compress,scc_26_root_18_makeMaps_e_scc_27_generateMTFValues.c.json,test_makeMaps_e,4.0
compress,scc_26_root_18_makeMaps_e_scc_27_generateMTFValues.c.json,generateMTFValues,39.0
compress,scc_26_root_18_makeMaps_e_scc_27_generateMTFValues.c.json,test_generateMTFValues,3.0
compress,scc_26_root_18_makeMaps_e_scc_27_generateMTFValues.c.json,main,0.0
bin,main.rs.json,process_link_list,11.0
bin,main.rs.json,process_cells,13.0
bin,main.rs.json,main,71.0
bin,main.rs.json,test_main,0.0
bin,main.c.json,main,0.0
global_vars,conversion.rs.json,execute_command,1.0
global_vars,conversion.rs.json,string_to_u8_array_2000,2.0
global_vars,conversion.rs.json,string_to_u8_array_1034,2.0
global_vars,conversion.rs.json,u8_array_to_string,0.0
global_vars,bzip2_c2.rs.json,BitStream,0.0
global_vars,bzip2_c1.rs.json,rebuild_arr2_from_block,0.0
global_vars,bzip2_c1.rs.json,build_block_from_arr2,0.0
global_vars,bzip2_c1.rs.json,build_mtfv_from_arr1,0.0
global_vars,bzip2_c1.rs.json,rebuild_arr1_from_mtfv,0.0
global_vars,bzip2_c1.rs.json,convert_to_vec,1.0
global_vars,bzip2_c1.rs.json,print_estate,3.0
global_vars,bzip2_c1.rs.json,print_ptr_u32,1.0
global_vars,bzip2_c1.rs.json,EState,2.0
global_vars,bzip2_c1.rs.json,EState,0.0
global_vars,bzip2_c1.rs.json,UInt64,1.0
global_vars,bzip2_c1.rs.json,serialize_bzfile,0.0
global_vars,bzip2_c1.rs.json,bzFile,0.0
global_vars,bzip2_c1.rs.json,SerializableBzStream,0.0
global_vars,bzip2_c1.rs.json,serialize_bz_stream,0.0
global_vars,bzip2_c1.rs.json,DState,0.0
global_vars,sleep_lib.rs.json,my_sleep,0.0
global_vars,combined.rs.json,EState,0.0
global_vars,combined.rs.json,UInt64,1.0
global_vars,combined.rs.json,bzFile,0.0
global_vars,combined.rs.json,DState,0.0
global_vars,combined.rs.json,BitStream,0.0
decompress,scc_5_root_4_makeMaps_d.rs.json,make_maps_d,3.0
decompress,scc_5_root_4_makeMaps_d.rs.json,test_make_maps_d,2.0
decompress,scc_63_BZ2_decompress.c.json,BZ2_decompress,1069.0
decompress,scc_13_root_7_makeMaps_d.c.json,,0.0
decompress,scc_13_root_7_makeMaps_d.c.json,,0.0
decompress,scc_13_root_7_makeMaps_d.c.json,makeMaps_d,3.0
decompress,scc_13_root_7_makeMaps_d.c.json,test_makeMaps_d,2.0
decompress,scc_13_root_7_makeMaps_d.c.json,main,3.0
huffman,scc_62_BZ2_hbMakeCodeLengths.rs.json,bz2_hb_make_code_lengths,49.0
huffman,scc_17_root_14_BZ2_hbAssignCodes.rs.json,bz2_hb_assign_codes,15.0
huffman,scc_17_root_14_BZ2_hbAssignCodes.rs.json,test_bz2_hb_assign_codes,0.0
huffman,scc_4_root_3_BZ2_hbCreateDecodeTables.rs.json,bz2_hb_create_decode_tables,11.0
huffman,scc_4_root_3_BZ2_hbCreateDecodeTables.rs.json,test_bz2_hb_create_decode_tables,0.0
huffman,scc_12_root_6_BZ2_hbCreateDecodeTables.c.json,BZ2_hbCreateDecodeTables,12.0
huffman,scc_12_root_6_BZ2_hbCreateDecodeTables.c.json,test_BZ2_hbCreateDecodeTables,1.0
huffman,scc_12_root_6_BZ2_hbCreateDecodeTables.c.json,main,3.0
huffman,scc_66_BZ2_hbMakeCodeLengths.c.json,BZ2_hbMakeCodeLengths,60.0
huffman,scc_66_BZ2_hbMakeCodeLengths.c.json,test_BZ2_hbMakeCodeLengths,0.0
huffman,scc_66_BZ2_hbMakeCodeLengths.c.json,main,3.0
huffman,scc_25_root_17_BZ2_hbAssignCodes.c.json,BZ2_hbAssignCodes,6.0
huffman,scc_25_root_17_BZ2_hbAssignCodes.c.json,test_BZ2_hbAssignCodes,0.0
huffman,scc_25_root_17_BZ2_hbAssignCodes.c.json,main,0.0
bzlib,scc_16_root_13_BZ2_bzCompressEnd.rs.json,BZ2_bzCompressEnd,7.0
bzlib,scc_16_root_13_BZ2_bzCompressEnd.rs.json,test_BZ2_bzCompressEnd_null_stream,0.0
bzlib,scc_42_root_57_BZ2_bzlibVersion.rs.json,bz2_bzlib_version,0.0
bzlib,scc_42_root_57_BZ2_bzlibVersion.rs.json,test_bz2_bzlib_version,0.0
bzlib,scc_42_root_57_BZ2_bzlibVersion.rs.json,main,0.0
bzlib,scc_41_BZ2_bzCompressInit_42_BZ2_bzWriteOpen.rs.json,bz2_bzwrite_open,9.0
bzlib,scc_41_BZ2_bzCompressInit_42_BZ2_bzWriteOpen.rs.json,bz2_bzcompress_init,7.0
bzlib,scc_41_BZ2_bzCompressInit_42_BZ2_bzWriteOpen.rs.json,test_bz2_bzwrite_open,4.0
bzlib,scc_36_root_27_default_bzfree_38_bz_config_ok_37_default_bzalloc.rs.json,bz_config_ok,1.0
bzlib,scc_36_root_27_default_bzfree_38_bz_config_ok_37_default_bzalloc.rs.json,default_bzalloc,0.0
bzlib,scc_36_root_27_default_bzfree_38_bz_config_ok_37_default_bzalloc.rs.json,default_bzfree,1.0
bzlib,scc_36_root_27_default_bzfree_38_bz_config_ok_37_default_bzalloc.rs.json,test_bz_config_ok,0.0
bzlib,scc_36_root_27_default_bzfree_38_bz_config_ok_37_default_bzalloc.rs.json,test_default_bzalloc_and_bzfree,0.0
bzlib,scc_36_root_27_default_bzfree_38_bz_config_ok_37_default_bzalloc.rs.json,main,0.0
bzlib,scc_46_root_33_myfeof.rs.json,myfeof,1.0
bzlib,scc_46_root_33_myfeof.rs.json,test_myfeof,0.0
bzlib,scc_29_root_22_add_pair_to_block.rs.json,add_pair_to_block,14.0
